127.0.0.1 - - [10/Jul/2024:09:14:37 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:38 +0530] "GET /MyProject/signup.jsp HTTP/1.1" 200 10752
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:46 +0530] "GET /Session_Management/index.jsp HTTP/1.1" 200 6300
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/mdi-font/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/font-awesome-4.7/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/js/global.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/datepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/datepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/datepicker/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /Session_Management/vendor/mdi-font/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:47 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:49 +0530] "GET /Session_Management/login.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:14:50 +0530] "GET /Session_Management/forgot-password.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:15:09 +0530] "POST /Session_Management/UserController HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:30:28 +0530] "POST /Session_Management/UserController HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:31:17 +0530] "POST /Session_Management/UserController HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:31:49 +0530] "POST /Session_Management/UserController HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:32:35 +0530] "POST /Session_Management/UserController HTTP/1.1" 200 4257
0:0:0:0:0:0:0:1 - - [10/Jul/2024:09:33:26 +0530] "POST /Session_Management/UserController HTTP/1.1" 200 4239
