127.0.0.1 - - [06/Aug/2024:11:20:44 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:20:45 +0530] "GET /Clothing_Shop/login.jsp HTTP/1.1" 200 33357
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:20:46 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:20:55 +0530] "POST /Clothing_Shop/UserController HTTP/1.1" 200 44129
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:20:58 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39435
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:21:01 +0530] "GET /MyProject/OrderCreation?amount=4700 HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:21:21 +0530] "POST /MyProject/index.jsp?bid=2 HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:24:44 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39439
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:24:48 +0530] "GET /Clothing_Shop/OrderCreation?amount=4700 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:25:06 +0530] "POST /MyProject/index.jsp?bid=2 HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:25:35 +0530] "POST /MyProject/index.jsp?bid=2 HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:25:39 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39443
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:25:56 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39443
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:25:58 +0530] "POST /Clothing_Shop/change_qty.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:25:58 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39443
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:26:01 +0530] "GET /Clothing_Shop/OrderCreation?amount=5900 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:26:17 +0530] "POST /Clothing_Shop/index.jsp?bid=2 HTTP/1.1" 200 44129
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:27:02 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39452
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:27:03 +0530] "GET /Clothing_Shop/OrderCreation?amount=5900 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:27:18 +0530] "POST /Clothing_Shop/update_payment.jsp?bid=2 HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:28:52 +0530] "POST /Clothing_Shop/change_qty.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:28:52 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39452
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:28:54 +0530] "GET /Clothing_Shop/OrderCreation?amount=4700 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:29:11 +0530] "POST /Clothing_Shop/update_payment.jsp?bid=2 HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:29:40 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39452
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:29:42 +0530] "GET /Clothing_Shop/OrderCreation?amount=4700 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:30:13 +0530] "POST /Clothing_Shop/update_payment.jsp?bid=2 HTTP/1.1" 500 2595
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:31:57 +0530] "GET /Clothing_Shop/login.jsp HTTP/1.1" 200 35009
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:32:03 +0530] "POST /Clothing_Shop/UserController HTTP/1.1" 200 44129
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:32:05 +0530] "GET /Clothing_Shop/cart.jsp HTTP/1.1" 200 39452
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:32:08 +0530] "GET /Clothing_Shop/OrderCreation?amount=4700 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:32:23 +0530] "POST /Clothing_Shop/update_payment.jsp?uid=2 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:32:58 +0530] "GET /Clothing_Shop/login.jsp HTTP/1.1" 200 33357
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:32:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Aug/2024:11:33:04 +0530] "GET /Clothing_Shop/register.jsp HTTP/1.1" 200 35884
